===========================================================================
接口列表
 11...........................Wintun Userspace Tunnel
 39...........................XyNetTunnel Tunnel
  7...04 d9 f5 1f 99 4a ......Realtek PCIe GbE Family Controller
 16...00 1a 7d da 71 11 ......Bluetooth Device (Personal Area Network)
  1...........................Software Loopback Interface 1
===========================================================================

IPv4 路由表
===========================================================================
活动路由:
网络目标        网络掩码          网关       接口   跃点数
      47.102.9.75  255.255.255.255         10.4.4.1         10.4.4.2     10
       47.128.0.0      255.128.0.0         10.4.4.1         10.4.4.2     10
     47.235.21.62  255.255.255.255         10.4.4.1         10.4.4.2     10
    47.235.24.199  255.255.255.255         10.4.4.1         10.4.4.2     10
         48.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         49.0.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
         49.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        49.16.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        49.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        49.48.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        49.50.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        49.51.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        49.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        49.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       49.124.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.128.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       49.136.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.142.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       49.144.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       49.156.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       49.192.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       49.212.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.216.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       49.236.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       49.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
         50.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
   50.112.134.116  255.255.255.255         10.4.4.1         10.4.4.2     10
    50.112.180.67  255.255.255.255         10.4.4.1         10.4.4.2     10
    50.112.200.26  255.255.255.255         10.4.4.1         10.4.4.2     10
         52.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
      52.0.122.38  255.255.255.255         10.4.4.1         10.4.4.2     10
      52.1.60.237  255.255.255.255         10.4.4.1         10.4.4.2     10
      52.1.147.33  255.255.255.255         10.4.4.1         10.4.4.2     10
       52.1.191.4  255.255.255.255         10.4.4.1         10.4.4.2     10
        52.3.3.35  255.255.255.255         10.4.4.1         10.4.4.2     10
      52.5.25.187  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.5.210.206  255.255.255.255         10.4.4.1         10.4.4.2     10
       52.6.23.45  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.6.195.169  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.16.37.228  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.18.103.48  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.19.233.137  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.22.137.196  255.255.255.255         10.4.4.1         10.4.4.2     10
      52.27.101.5  255.255.255.255         10.4.4.1         10.4.4.2     10
      52.33.8.195  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.34.206.251  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.38.119.170  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.41.145.112  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.50.84.124  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.55.106.14  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.71.237.46  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.72.96.128  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.86.171.100  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.86.188.173  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.200.12.237  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.202.182.245  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.208.171.149  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.209.195.115  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.210.99.154  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.210.150.124  255.255.255.255         10.4.4.1         10.4.4.2     10
     52.211.57.80  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.211.198.59  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.213.232.40  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.215.171.88  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.216.10.174  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.216.186.86  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.216.217.73  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.217.98.232  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.217.133.50  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.217.164.154  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.217.225.194  255.255.255.255         10.4.4.1         10.4.4.2     10
    52.219.171.36  255.255.255.255         10.4.4.1         10.4.4.2     10
   52.219.171.156  255.255.255.255         10.4.4.1         10.4.4.2     10
         54.0.0.0      255.128.0.0         10.4.4.1         10.4.4.2     10
    54.68.145.228  255.255.255.255         10.4.4.1         10.4.4.2     10
      54.70.217.2  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.75.216.66  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.77.160.32  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.77.213.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.81.40.206  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.82.220.207  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.83.247.218  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.84.132.172  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.84.238.107  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.85.240.195  255.255.255.255         10.4.4.1         10.4.4.2     10
      54.86.94.54  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.86.109.127  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.86.216.182  255.255.255.255         10.4.4.1         10.4.4.2     10
      54.87.6.225  255.255.255.255         10.4.4.1         10.4.4.2     10
       54.128.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
     54.145.179.6  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.149.94.244  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.157.123.207  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.158.196.11  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.159.27.242  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.159.136.131  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.159.218.128  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.162.18.153  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.162.107.232  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.162.131.37  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.163.187.177  255.255.255.255         10.4.4.1         10.4.4.2     10
      54.167.79.3  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.170.119.202  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.188.122.60  255.255.255.255         10.4.4.1         10.4.4.2     10
       54.192.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
     54.195.54.97  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.197.155.195  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.198.188.180  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.203.202.128  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.204.220.39  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.205.201.53  255.255.255.255         10.4.4.1         10.4.4.2     10
       54.208.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
    54.210.180.10  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.213.212.200  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.214.70.201  255.255.255.255         10.4.4.1         10.4.4.2     10
       54.216.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
    54.217.60.188  255.255.255.255         10.4.4.1         10.4.4.2     10
       54.220.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       54.224.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
   54.229.157.171  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.13  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.17  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.32  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.39  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.42  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.45  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.48  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.52  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.55  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.69  255.255.255.255         10.4.4.1         10.4.4.2     10
     54.230.71.94  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.230.71.100  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.230.71.115  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.230.71.125  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.231.202.154  255.255.255.255         10.4.4.1         10.4.4.2     10
   54.236.192.172  255.255.255.255         10.4.4.1         10.4.4.2     10
    54.243.122.21  255.255.255.255         10.4.4.1         10.4.4.2     10
         55.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         56.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
         58.0.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
         58.8.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        58.12.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.26.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.28.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.64.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.68.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        58.69.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        58.70.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.72.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        58.80.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      58.82.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        58.84.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        58.88.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        58.96.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        58.98.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        58.99.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       58.102.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       58.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       58.112.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       58.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       58.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       58.145.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       58.146.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       58.148.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       58.152.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       58.156.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       58.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       58.224.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
         59.0.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
     59.34.197.39  255.255.255.255         10.4.4.1         10.4.4.2     10
     59.34.197.42  255.255.255.255         10.4.4.1         10.4.4.2     10
     59.34.197.43  255.255.255.255         10.4.4.1         10.4.4.2     10
    59.36.214.233  255.255.255.255         10.4.4.1         10.4.4.2     10
    59.36.214.234  255.255.255.255         10.4.4.1         10.4.4.2     10
    59.36.214.235  255.255.255.255         10.4.4.1         10.4.4.2     10
    59.36.214.236  255.255.255.255         10.4.4.1         10.4.4.2     10
    59.36.214.237  255.255.255.255         10.4.4.1         10.4.4.2     10
        59.84.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        59.88.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        59.96.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       59.104.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       59.106.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       59.112.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       59.128.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       59.144.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       59.148.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       59.150.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     59.151.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       59.152.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       59.154.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       59.156.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       59.160.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       59.168.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       59.176.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       59.184.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       59.188.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       59.190.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     59.191.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        60.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        60.48.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        60.52.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        60.54.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        60.56.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        60.60.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        60.62.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        60.64.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
       60.128.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       60.192.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       60.196.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       60.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       60.234.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       60.236.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       60.240.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       60.244.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       60.245.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       60.246.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       60.248.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       60.253.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       60.254.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         61.0.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        61.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        61.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        61.64.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
       61.192.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       61.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       61.238.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       61.244.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       61.248.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
         62.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
    62.146.255.10  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.11  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.12  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.13  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.14  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.15  255.255.255.255         10.4.4.1         10.4.4.2     10
    62.146.255.16  255.255.255.255         10.4.4.1         10.4.4.2     10
         64.0.0.0        224.0.0.0         10.4.4.1         10.4.4.2     10
    67.199.248.12  255.255.255.255         10.4.4.1         10.4.4.2     10
    67.199.248.13  255.255.255.255         10.4.4.1         10.4.4.2     10
   75.101.188.115  255.255.255.255         10.4.4.1         10.4.4.2     10
         96.0.0.0        252.0.0.0         10.4.4.1         10.4.4.2     10
     98.87.177.71  255.255.255.255         10.4.4.1         10.4.4.2     10
    98.87.179.183  255.255.255.255         10.4.4.1         10.4.4.2     10
       99.80.0.98  255.255.255.255         10.4.4.1         10.4.4.2     10
        99.80.7.8  255.255.255.255         10.4.4.1         10.4.4.2     10
     99.81.53.227  255.255.255.255         10.4.4.1         10.4.4.2     10
     99.83.166.42  255.255.255.255         10.4.4.1         10.4.4.2     10
     99.83.184.34  255.255.255.255         10.4.4.1         10.4.4.2     10
        100.0.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
    100.20.172.32  255.255.255.255         10.4.4.1         10.4.4.2     10
   100.21.128.231  255.255.255.255         10.4.4.1         10.4.4.2     10
      100.128.0.0      255.128.0.0         10.4.4.1         10.4.4.2     10
        101.0.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        101.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       101.50.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       101.53.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       101.55.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       101.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
   101.69.162.246  255.255.255.255         10.4.4.1         10.4.4.2     10
   101.69.162.247  255.255.255.255         10.4.4.1         10.4.4.2     10
       101.78.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       101.96.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       101.97.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       101.98.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      101.100.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      101.108.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      101.112.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      101.127.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      101.128.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      101.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      101.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
    101.198.2.196  255.255.255.255         10.4.4.1         10.4.4.2     10
      101.202.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      101.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      101.234.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      101.250.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      101.251.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      101.255.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        102.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
        103.0.0.0      255.128.0.0         10.4.4.1         10.4.4.2     10
      103.192.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      103.196.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      103.198.0.0    255.255.224.0         10.4.4.1         10.4.4.2     10
     103.198.32.0    255.255.240.0         10.4.4.1         10.4.4.2     10
     103.198.48.0    255.255.248.0         10.4.4.1         10.4.4.2     10
     103.198.56.0    255.255.252.0         10.4.4.1         10.4.4.2     10
     103.198.68.0    255.255.252.0         10.4.4.1         10.4.4.2     10
     103.198.72.0    255.255.248.0         10.4.4.1         10.4.4.2     10
     103.198.80.0    255.255.240.0         10.4.4.1         10.4.4.2     10
     103.198.96.0    255.255.224.0         10.4.4.1         10.4.4.2     10
    103.198.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      103.199.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      103.200.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      103.208.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      103.212.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      103.214.0.0    255.255.224.0         10.4.4.1         10.4.4.2     10
     103.214.32.0    255.255.240.0         10.4.4.1         10.4.4.2     10
     103.214.52.0    255.255.252.0         10.4.4.1         10.4.4.2     10
     103.214.56.0    255.255.248.0         10.4.4.1         10.4.4.2     10
     103.214.64.0    255.255.192.0         10.4.4.1         10.4.4.2     10
    103.214.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      103.215.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      103.216.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      103.224.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        104.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
     104.16.40.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.16.41.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.17.24.14  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.17.25.14  255.255.255.255         10.4.4.1         10.4.4.2     10
      104.18.0.22  255.255.255.255         10.4.4.1         10.4.4.2     10
      104.18.1.22  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.14.62  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.15.62  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.20.94  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.18.20.177  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.21.94  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.18.21.177  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.24.90  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.25.90  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.18.32.137  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.18.34.210  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.18.38.233  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.86.42  255.255.255.255         10.4.4.1         10.4.4.2     10
     104.18.87.42  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.19.229.21  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.19.230.21  255.255.255.255         10.4.4.1         10.4.4.2     10
      104.21.7.32  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.21.50.200  255.255.255.255         10.4.4.1         10.4.4.2     10
    104.84.150.17  255.255.255.255         10.4.4.1         10.4.4.2     10
        106.0.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       106.10.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       106.51.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    106.60.64.105  255.255.255.255         10.4.4.1         10.4.4.2     10
    106.60.64.106  255.255.255.255         10.4.4.1         10.4.4.2     10
    106.60.64.108  255.255.255.255         10.4.4.1         10.4.4.2     10
     106.63.24.37  255.255.255.255         10.4.4.1         10.4.4.2     10
       106.64.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       106.72.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       106.76.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       106.96.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      106.104.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      106.128.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
      106.192.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      106.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        107.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
   107.20.159.243  255.255.255.255         10.4.4.1         10.4.4.2     10
        108.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
        110.0.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        110.4.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        110.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       110.20.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       110.24.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       110.32.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       110.44.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       110.49.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       110.50.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       110.54.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       110.66.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       110.68.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       110.74.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       110.76.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     110.77.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       110.78.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       110.92.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      110.128.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      110.144.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      110.158.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      110.160.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      110.164.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      110.168.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      110.224.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      110.232.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      110.238.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       111.64.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       111.67.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       111.68.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       111.80.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       111.84.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       111.86.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       111.88.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       111.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      111.118.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      111.125.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      111.168.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      111.171.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      111.184.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      111.188.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      111.216.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      111.220.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      111.221.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      111.223.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      111.232.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
